[[-77.0, -74.0, -73.0, -79.0, -80.0, -67.0],
 [-79.0, -73.0, -70.0, -79.0, -78.0, -64.0],
 [-81.0, -73.0, -68.0, -78.0, -77.0, -63.0],
 [-82.0, -74.0, -67.0, -78.0, -79.0, -65.0],
 [-81.0, -78.0, -65.0, -78.0, -81.0, -69.0],
 [-80.0, -84.0, -61.0, -80.0, -81.0, -68.0],
 [-78.0, -86.0, -61.0, -80.0, -80.0, -68.0],
 [-77.0, -83.0, -68.0, -82.0, -80.0, -72.0],
 [-78.0, -79.0, -71.0, -82.0, -79.0, -74.0],
 [-78.0, -76.0, -68.0, -81.0, -76.0, -73.0],
 [-80.0, -75.0, -69.0, -80.0, -80.0, -67.0],
 [-82.0, -74.0, -68.0, -81.0, -79.0, -64.0],
 [-82.0, -73.0, -68.0, -80.0, -78.0, -63.0],
 [-82.0, -74.0, -68.0, -79.0, -80.0, -66.0],
 [-81.0, -75.0, -67.0, -79.0, -81.0, -68.0],
 [-81.0, -77.0, -63.0, -79.0, -79.0, -66.0],
 [-80.0, -78.0, -62.0, -80.0, -78.0, -64.0],
 [-78.0, -77.0, -66.0, -81.0, -79.0, -68.0],
 [-78.0, -77.0, -67.0, -83.0, -79.0, -72.0],
 [-78.0, -77.0, -64.0, -83.0, -75.0, -71.0],
 [-82.0, -74.0, -66.0, -80.0, -78.0, -63.0],
 [-83.0, -74.0, -66.0, -82.0, -80.0, -62.0],
 [-81.0, -73.0, -68.0, -81.0, -80.0, -62.0],
 [-80.0, -73.0, -69.0, -79.0, -81.0, -66.0],
 [-79.0, -72.0, -68.0, -78.0, -79.0, -68.0],
 [-81.0, -70.0, -65.0, -78.0, -77.0, -65.0],
 [-81.0, -69.0, -64.0, -79.0, -77.0, -62.0],
 [-79.0, -71.0, -64.0, -81.0, -78.0, -64.0],
 [-76.0, -76.0, -63.0, -82.0, -79.0, -68.0],
 [-76.0, -77.0, -62.0, -82.0, -76.0, -71.0],
 [-80.0, -73.0, -64.0, -82.0, -76.0, -56.0],
 [-81.0, -73.0, -66.0, -82.0, -79.0, -56.0],
 [-81.0, -72.0, -68.0, -80.0, -82.0, -59.0],
 [-79.0, -73.0, -67.0, -76.0, -82.0, -64.0],
 [-78.0, -73.0, -64.0, -76.0, -79.0, -68.0],
 [-79.0, -70.0, -62.0, -79.0, -76.0, -66.0],
 [-80.0, -69.0, -60.0, -82.0, -76.0, -63.0],
 [-77.0, -73.0, -60.0, -82.0, -79.0, -63.0],
 [-75.0, -77.0, -60.0, -80.0, -80.0, -66.0],
 [-76.0, -77.0, -62.0, -80.0, -77.0, -70.0],
 [-77.0, -72.0, -66.0, -82.0, -76.0, -50.0],
 [-79.0, -72.0, -67.0, -81.0, -79.0, -51.0],
 [-80.0, -72.0, -67.0, -77.0, -81.0, -57.0],
 [-79.0, -73.0, -65.0, -74.0, -82.0, -62.0],
 [-77.0, -74.0, -62.0, -75.0, -81.0, -66.0],
 [-77.0, -73.0, -60.0, -80.0, -77.0, -67.0],
 [-78.0, -73.0, -59.0, -83.0, -77.0, -66.0],
 [-77.0, -76.0, -57.0, -82.0, -79.0, -65.0],
 [-78.0, -78.0, -59.0, -80.0, -79.0, -67.0],
 [-77.0, -76.0, -65.0, -78.0, -76.0, -70.0],
 [-75.0, -72.0, -68.0, -81.0, -76.0, -51.0],
 [-78.0, -73.0, -68.0, -80.0, -78.0, -54.0],
 [-80.0, -72.0, -68.0, -78.0, -80.0, -59.0],
 [-79.0, -72.0, -66.0, -76.0, -82.0, -62.0],
 [-77.0, -72.0, -66.0, -76.0, -81.0, -64.0],
 [-77.0, -73.0, -66.0, -78.0, -78.0, -66.0],
 [-78.0, -74.0, -63.0, -80.0, -76.0, -67.0],
 [-81.0, -75.0, -58.0, -80.0, -75.0, -68.0],
 [-83.0, -74.0, -59.0, -80.0, -75.0, -69.0],
 [-80.0, -71.0, -69.0, -78.0, -72.0, -71.0],
 [-74.0, -72.0, -71.0, -77.0, -78.0, -58.0],
 [-77.0, -74.0, -69.0, -78.0, -79.0, -61.0],
 [-78.0, -73.0, -69.0, -78.0, -80.0, -65.0],
 [-78.0, -71.0, -69.0, -79.0, -80.0, -66.0],
 [-77.0, -70.0, -71.0, -78.0, -79.0, -65.0],
 [-78.0, -71.0, -72.0, -77.0, -77.0, -66.0],
 [-79.0, -73.0, -68.0, -77.0, -75.0, -68.0],
 [-81.0, -73.0, -62.0, -78.0, -72.0, -69.0],
 [-82.0, -70.0, -63.0, -79.0, -70.0, -70.0],
 [-81.0, -68.0, -72.0, -80.0, -70.0, -73.0],
 [-74.0, -72.0, -72.0, -74.0, -80.0, -65.0],
 [-75.0, -73.0, -70.0, -74.0, -81.0, -68.0],
 [-77.0, -73.0, -69.0, -75.0, -80.0, -71.0],
 [-77.0, -72.0, -69.0, -78.0, -77.0, -70.0],
 [-78.0, -70.0, -70.0, -81.0, -76.0, -69.0],
 [-80.0, -70.0, -69.0, -81.0, -75.0, -70.0],
 [-79.0, -71.0, -68.0, -78.0, -74.0, -70.0],
 [-74.0, -72.0, -68.0, -76.0, -71.0, -68.0],
 [-73.0, -72.0, -70.0, -78.0, -70.0, -70.0],
 [-78.0, -71.0, -73.0, -82.0, -71.0, -77.0],
 [-73.0, -72.0, -73.0, -73.0, -77.0, -70.0],
 [-74.0, -72.0, -70.0, -71.0, -80.0, -72.0],
 [-76.0, -72.0, -70.0, -72.0, -78.0, -73.0],
 [-76.0, -72.0, -70.0, -77.0, -74.0, -73.0],
 [-77.0, -70.0, -69.0, -82.0, -72.0, -72.0],
 [-80.0, -69.0, -67.0, -84.0, -73.0, -74.0],
 [-77.0, -69.0, -68.0, -80.0, -74.0, -73.0],
 [-67.0, -71.0, -73.0, -76.0, -72.0, -68.0],
 [-65.0, -74.0, -76.0, -77.0, -72.0, -69.0],
 [-75.0, -75.0, -74.0, -81.0, -74.0, -78.0],
 [-72.0, -72.0, -73.0, -75.0, -72.0, -72.0],
 [-74.0, -73.0, -71.0, -73.0, -74.0, -73.0],
 [-76.0, -73.0, -70.0, -73.0, -73.0, -74.0],
 [-75.0, -71.0, -73.0, -76.0, -69.0, -72.0],
 [-75.0, -69.0, -75.0, -80.0, -68.0, -71.0],
